Action,Memory Utilization
1,0.813802
2,0.406901
3,0.271267
4,0.203451
5,0.162760
6,0.271267
7,0.348772
8,0.356038
9,0.406901
10,0.406901
11,0.443892
12,0.440809
13,0.406901
14,0.377837
15,0.379774
16,0.406901
17,0.406901
18,0.429507
19,0.428317
20,0.406901
21,0.387525
22,0.388406
23,0.371518
24,0.356038
25,0.341797
26,0.344301
27,0.361690
28,0.377837
29,0.383516
30,0.379774
31,0.367524
32,0.356038
33,0.353470
34,0.343073
35,0.333271
36,0.324014
37,0.315257
38,0.306960
39,0.306045
40,0.298394
41,0.297732
42,0.290644
43,0.290193
44,0.283598
45,0.283324
46,0.288959
47,0.288582
48,0.282570
49,0.282339
50,0.287543
51,0.297862
52,0.302567
53,0.301977
54,0.296385
55,0.290996
56,0.290644
57,0.285545
58,0.280621
59,0.280463
60,0.284831
61,0.284608
62,0.288768
63,0.288491
64,0.283983
65,0.279614
66,0.279488
67,0.275316
68,0.275257
69,0.271267
70,0.267392
71,0.263626
72,0.259965
73,0.260119
74,0.256604
75,0.256800
76,0.260559
77,0.260699
78,0.264312
79,0.264400
80,0.261095
81,0.261220
82,0.258035
83,0.258194
84,0.255120
85,0.255310
86,0.252342
87,0.249441
88,0.246607
89,0.243836
90,0.244141
91,0.241458
92,0.241782
93,0.245016
94,0.245295
95,0.242713
96,0.240185
97,0.237709
98,0.238051
99,0.235646
100,0.233290
101,0.233666
102,0.236694
103,0.242297
104,0.247792
105,0.251245
106,0.252714
107,0.252253
108,0.253685
109,0.253224
110,0.254621
111,0.254160
112,0.251891
113,0.251462
114,0.249257
115,0.247089
116,0.246713
117,0.244604
118,0.244256
119,0.245622
120,0.248662
121,0.253332
122,0.256259
123,0.260792
124,0.265251
125,0.269640
126,0.272882
127,0.275005
128,0.278155
129,0.282307
130,0.286396
131,0.289534
132,0.293506
133,0.297418
134,0.300512
135,0.304315
136,0.307313
137,0.311010
138,0.313916
139,0.316049
140,0.317424
141,0.319502
142,0.322266
143,0.324281
144,0.326974
145,0.330331
146,0.333643
147,0.336909
148,0.339582
149,0.342764
150,0.345905
151,0.348513
152,0.350601
153,0.353145
154,0.355175
155,0.356702
156,0.358684
157,0.361112
158,0.363040
159,0.365410
160,0.368212
161,0.370521
162,0.372343
163,0.374598
164,0.377276
165,0.379473
166,0.381198
167,0.382460
168,0.383266
169,0.384500
170,0.385285
171,0.385627
172,0.386396
173,0.386729
174,0.387482
175,0.388650
176,0.389384
177,0.390528
178,0.391244
179,0.392364
180,0.393884
181,0.394978
182,0.395653
183,0.395916
184,0.395775
185,0.396035
186,0.395895
187,0.396151
188,0.396012
189,0.396265
190,0.396905
191,0.397151
192,0.397009
193,0.397252
194,0.397874
195,0.398110
196,0.397966
197,0.397448
198,0.396562
199,0.396056
200,0.395185
201,0.394692
202,0.393836
203,0.393354
204,0.392514
205,0.391321
206,0.390499
207,0.389327
208,0.387811
209,0.385955
210,0.384118
211,0.382648
212,0.380843
213,0.379055
214,0.377284
215,0.375873
216,0.374133
217,0.372750
218,0.371718
219,0.371034
220,0.370693
221,0.370020
222,0.369686
223,0.369687
224,0.369358
225,0.369360
226,0.369036
227,0.369039
228,0.368719
229,0.368724
230,0.369051
231,0.369695
232,0.370653
233,0.371919
234,0.373492
235,0.375365
236,0.376910
237,0.378129
238,0.379027
239,0.379608
240,0.380492
241,0.381676
242,0.382545
243,0.383102
244,0.383351
245,0.383900
246,0.384745
247,0.385284
248,0.385520
249,0.386052
250,0.386283
251,0.386218
252,0.385860
253,0.385212
254,0.384278
255,0.383641
256,0.382721
257,0.381519
258,0.380614
259,0.380001
260,0.379109
261,0.377940
262,0.376497
263,0.375347
264,0.373925
265,0.372514
266,0.371392
267,0.370555
268,0.370001
269,0.369175
270,0.368082
271,0.366724
