Action,Memory_Utilization
1,0.976562
2,0.976562
3,0.813802
4,0.610352
5,0.488281
6,0.488281
7,0.558036
8,0.549316
9,0.596788
10,0.585938
11,0.621449
12,0.610352
13,0.638522
14,0.627790
15,0.585938
16,0.549316
17,0.517004
18,0.488281
19,0.462582
20,0.439453
21,0.441778
22,0.421697
23,0.403363
24,0.386556
25,0.390625
26,0.375601
27,0.379774
28,0.366211
29,0.370420
30,0.358073
31,0.346522
32,0.350952
33,0.340317
34,0.344669
35,0.362723
36,0.379774
37,0.387106
38,0.402618
39,0.417334
40,0.425212
41,0.426750
42,0.434028
43,0.435289
44,0.430945
45,0.421369
46,0.417516
47,0.419021
48,0.415378
49,0.406901
50,0.398763
51,0.395731
52,0.388121
53,0.385404
54,0.378267
55,0.375829
56,0.377837
57,0.384057
58,0.394273
59,0.404142
60,0.413683
61,0.420242
62,0.423965
63,0.424986
64,0.423431
65,0.424429
66,0.422930
67,0.419047
68,0.412885
69,0.406901
70,0.401088
71,0.397731
72,0.396729
73,0.397983
74,0.397003
75,0.393880
76,0.388698
77,0.383650
78,0.380818
79,0.380118
80,0.377401
81,0.372741
82,0.368196
83,0.365721
84,0.365242
85,0.366690
86,0.366211
87,0.367614
88,0.367136
89,0.364839
90,0.364402
91,0.362187
92,0.358250
93,0.356148
94,0.355822
95,0.357216
96,0.360277
97,0.361597
98,0.361228
99,0.359224
100,0.358887
101,0.356945
102,0.353445
103,0.351594
104,0.348213
105,0.344897
106,0.343179
107,0.343014
108,0.344359
109,0.347172
110,0.348455
111,0.348249
112,0.346592
113,0.346406
114,0.347651
115,0.347458
116,0.348672
117,0.348474
118,0.349659
119,0.349456
120,0.350613
121,0.353096
122,0.354204
123,0.353971
124,0.355054
125,0.354818
126,0.353293
127,0.353075
128,0.351588
129,0.348862
130,0.346179
131,0.343536
132,0.342167
133,0.339594
134,0.338274
135,0.335769
136,0.334497
137,0.334431
138,0.333187
139,0.333132
140,0.334240
141,0.336487
142,0.339848
143,0.342025
144,0.345301
145,0.349654
146,0.352833
147,0.354862
148,0.355763
149,0.355561
150,0.356445
151,0.356241
152,0.354968
153,0.352648
154,0.350358
155,0.349147
156,0.346909
157,0.345736
158,0.345608
159,0.346506
160,0.346375
161,0.347256
162,0.347122
163,0.345991
164,0.343881
165,0.341797
166,0.340718
167,0.338678
168,0.336662
169,0.335633
170,0.333659
171,0.331708
172,0.330725
173,0.328814
174,0.326924
