Action,Memory_Utilization
1,0.000977
2,0.000488
3,0.000326
4,0.000244
5,0.000195
6,0.000326
7,0.000279
8,0.000244
9,0.000326
10,0.000488
11,0.000710
12,0.000814
13,0.000826
14,0.000907
15,0.000911
16,0.000854
17,0.000804
18,0.000760
19,0.000720
20,0.000684
21,0.000698
22,0.000755
23,0.000764
24,0.000814
25,0.000898
26,0.000939
27,0.000940
28,0.000977
29,0.001044
30,0.001074
31,0.001134
32,0.001221
33,0.001332
34,0.001465
35,0.001618
36,0.001790
37,0.001980
38,0.002133
39,0.002254
40,0.002344
41,0.002406
42,0.002488
43,0.002589
44,0.002708
45,0.002843
46,0.002951
47,0.003034
48,0.003133
49,0.003209
50,0.003262
51,0.003294
52,0.003305
53,0.003298
54,0.003309
55,0.003303
56,0.003278
57,0.003272
58,0.003283
59,0.003277
60,0.003288
61,0.003314
62,0.003355
63,0.003410
64,0.003479
65,0.003561
66,0.003655
67,0.003760
68,0.003878
69,0.003977
70,0.004088
71,0.004181
72,0.004286
73,0.004401
74,0.004526
75,0.004661
76,0.004806
77,0.004934
78,0.005071
79,0.005217
80,0.005371
81,0.005510
82,0.005633
83,0.005742
84,0.005859
85,0.005986
86,0.006121
87,0.006241
88,0.006370
89,0.006485
90,0.006586
91,0.006696
92,0.006793
93,0.006878
94,0.006971
95,0.007052
96,0.007121
97,0.007178
98,0.007244
99,0.007300
100,0.007363
101,0.007435
102,0.007497
103,0.007547
104,0.007606
105,0.007654
106,0.007693
107,0.007739
108,0.007794
109,0.007839
110,0.007875
111,0.007900
112,0.007935
113,0.007977
114,0.008027
115,0.008084
116,0.008149
117,0.008205
118,0.008268
119,0.008338
120,0.008415
121,0.008482
122,0.008557
123,0.008622
124,0.008695
125,0.008758
126,0.008828
127,0.008889
128,0.008957
129,0.009031
130,0.009112
131,0.009199
132,0.009292
133,0.009376
134,0.009452
135,0.009534
136,0.009622
137,0.009701
138,0.009773
139,0.009836
140,0.009905
141,0.009980
142,0.010061
143,0.010134
144,0.010213
145,0.010298
146,0.010374
147,0.010443
148,0.010505
149,0.010559
150,0.010605
151,0.010645
152,0.010691
153,0.010742
154,0.010799
155,0.010862
156,0.010917
157,0.010966
158,0.011008
159,0.011043
160,0.011072
161,0.011106
162,0.011134
163,0.011168
164,0.011195
165,0.011216
166,0.011242
167,0.011274
168,0.011312
169,0.011343
170,0.011368
171,0.011399
172,0.011424
173,0.011442
174,0.011455
175,0.011473
176,0.011486
177,0.011493
178,0.011494
179,0.011490
180,0.011491
181,0.011498
182,0.011509
183,0.011516
184,0.011528
185,0.011534
186,0.011535
187,0.011531
188,0.011532
189,0.011528
190,0.011529
191,0.011524
192,0.011515
193,0.011511
194,0.011502
195,0.011498
196,0.011490
197,0.011486
198,0.011487
199,0.011483
200,0.011475
201,0.011461
202,0.011443
203,0.011420
204,0.011403
205,0.011381
206,0.011354
207,0.011332
208,0.011315
209,0.011303
210,0.011286
211,0.011274
212,0.011267
213,0.011256
214,0.011240
215,0.011219
216,0.011203
217,0.011183
218,0.011168
219,0.011157
220,0.011151
221,0.011140
222,0.011134
223,0.011123
224,0.011108
225,0.011089
226,0.011066
227,0.011048
228,0.011025
229,0.011007
230,0.010984
231,0.010958
232,0.010927
233,0.010901
234,0.010880
235,0.010863
236,0.010841
237,0.010816
238,0.010796
239,0.010771
240,0.010742
241,0.010710
242,0.010682
243,0.010650
244,0.010622
245,0.010591
246,0.010564
247,0.010533
248,0.010506
249,0.010475
250,0.010441
251,0.010411
252,0.010386
253,0.010356
254,0.010323
255,0.010286
256,0.010246
257,0.010206
