Action,Memory Utilization
1,0.024414
2,0.012207
3,0.016276
4,0.024414
5,0.034180
6,0.044759
7,0.048828
8,0.048828
9,0.046115
10,0.046387
11,0.048828
12,0.048828
13,0.050706
14,0.050572
15,0.048828
16,0.045776
17,0.043084
18,0.040690
19,0.039833
20,0.040283
21,0.041853
22,0.044389
23,0.047767
24,0.049845
25,0.052734
26,0.056340
27,0.058775
28,0.060163
29,0.062298
30,0.065104
31,0.066942
32,0.069427
33,0.072502
34,0.074678
35,0.077427
36,0.080702
37,0.083140
38,0.084807
39,0.087014
40,0.089722
41,0.091702
42,0.094169
43,0.095953
44,0.097101
45,0.097656
46,0.097656
47,0.098176
48,0.099182
49,0.100646
50,0.102539
51,0.104837
52,0.107516
53,0.110554
54,0.113932
55,0.117631
56,0.121634
57,0.125069
58,0.127963
59,0.130346
60,0.132243
61,0.133677
62,0.135459
63,0.136796
64,0.137711
65,0.138972
66,0.139826
67,0.141019
68,0.141817
69,0.142946
70,0.144392
71,0.146141
72,0.148180
73,0.150498
74,0.152423
75,0.153971
76,0.155158
77,0.156630
78,0.158378
79,0.159773
80,0.161438
81,0.163363
82,0.164944
83,0.166192
84,0.167120
85,0.168313
86,0.169195
87,0.169776
88,0.170066
89,0.170624
90,0.170898
91,0.171435
92,0.171695
93,0.171686
94,0.171418
95,0.170898
96,0.170135
97,0.169640
98,0.168905
99,0.167939
100,0.167236
101,0.166306
102,0.165154
103,0.164262
104,0.163152
105,0.162295
106,0.161686
107,0.161315
108,0.160726
109,0.160371
110,0.159801
111,0.159021
112,0.158473
113,0.158151
114,0.158049
115,0.157736
116,0.157639
117,0.157335
118,0.156829
119,0.156127
120,0.155233
121,0.154555
122,0.153689
123,0.152638
124,0.151407
125,0.150391
126,0.149585
127,0.148599
128,0.147820
129,0.146863
130,0.146109
131,0.145180
132,0.144450
133,0.143547
134,0.142476
135,0.141421
136,0.140381
137,0.139356
138,0.138346
139,0.137527
140,0.136544
141,0.135749
142,0.135137
143,0.134704
144,0.134447
145,0.134362
146,0.134110
147,0.133696
148,0.133453
149,0.133376
150,0.133464
151,0.133388
152,0.133474
153,0.133719
154,0.134119
155,0.134671
156,0.135373
157,0.136221
158,0.136904
159,0.137425
160,0.137787
161,0.137993
162,0.138346
163,0.138546
164,0.138892
165,0.139086
166,0.139425
167,0.139613
168,0.139654
169,0.139550
170,0.139591
171,0.139774
172,0.139813
