Action,Memory Utilization
1,0.024414
2,0.012207
3,0.016276
4,0.012207
5,0.009766
6,0.012207
7,0.010463
8,0.009155
9,0.008138
10,0.009766
11,0.013317
12,0.014242
13,0.013146
14,0.013951
15,0.013021
16,0.013733
17,0.012925
18,0.012207
19,0.011565
20,0.012207
21,0.013951
22,0.016646
23,0.020168
24,0.022380
25,0.023438
26,0.023475
27,0.022606
28,0.021798
29,0.021888
30,0.022786
31,0.022839
32,0.023651
33,0.025154
34,0.025850
35,0.025809
36,0.025092
37,0.024414
38,0.024414
39,0.025040
40,0.026245
41,0.027987
42,0.030227
43,0.031795
44,0.032737
45,0.034180
46,0.036090
47,0.037400
48,0.038147
49,0.038365
50,0.039062
51,0.040211
52,0.041786
53,0.042840
54,0.044307
55,0.045277
56,0.046648
57,0.048400
58,0.050512
59,0.052966
60,0.055745
61,0.058033
62,0.059854
63,0.062004
64,0.063705
65,0.065730
66,0.067324
67,0.069234
68,0.071447
69,0.073242
70,0.075335
71,0.077712
72,0.080363
73,0.083275
74,0.086439
75,0.089193
76,0.092195
77,0.095437
78,0.098282
79,0.101365
80,0.104675
81,0.107603
82,0.110756
83,0.114128
84,0.117711
85,0.121496
86,0.124909
87,0.127963
88,0.131226
89,0.134140
90,0.136719
91,0.139509
92,0.142504
93,0.145697
94,0.149082
95,0.152138
96,0.155385
97,0.158314
98,0.160934
99,0.163747
100,0.166260
101,0.168481
102,0.170420
103,0.172084
104,0.173481
105,0.174619
106,0.175966
107,0.177515
108,0.178810
109,0.179858
110,0.181108
111,0.182116
112,0.182887
113,0.183862
114,0.184605
115,0.185122
116,0.185842
117,0.186757
118,0.187864
119,0.188747
120,0.189819
121,0.190672
122,0.191310
123,0.192137
124,0.192753
125,0.193555
126,0.194537
127,0.195697
128,0.196648
129,0.197394
130,0.198317
131,0.199413
132,0.200306
133,0.201003
134,0.201507
135,0.202185
136,0.203032
137,0.204045
138,0.205220
139,0.206554
140,0.207694
141,0.208991
142,0.210098
143,0.211361
144,0.212775
145,0.214002
146,0.215379
147,0.216571
148,0.217582
149,0.218743
150,0.220052
151,0.221182
152,0.222457
153,0.223556
154,0.224800
155,0.225869
156,0.226769
157,0.227813
158,0.228689
159,0.229400
160,0.229950
161,0.230645
162,0.231180
163,0.231859
164,0.232380
165,0.232747
166,0.232963
167,0.233322
168,0.233532
169,0.233595
170,0.233801
171,0.234147
172,0.234630
