Action,Memory_Utilization
1,0.976562
2,0.488281
3,0.325521
4,0.244141
5,0.390625
6,0.325521
7,0.418527
8,0.488281
9,0.542535
10,0.553385
11,0.532670
12,0.488281
13,0.475761
14,0.441778
15,0.434028
16,0.447591
17,0.478707
18,0.488281
19,0.479715
20,0.455729
21,0.434028
22,0.429096
23,0.438745
24,0.434028
25,0.416667
26,0.400641
27,0.397859
28,0.406901
29,0.426545
30,0.444878
31,0.454154
32,0.470479
33,0.478417
34,0.478707
35,0.472005
36,0.458894
37,0.453090
38,0.454016
39,0.461155
40,0.474040
41,0.480342
42,0.480531
43,0.475033
44,0.464237
45,0.459346
46,0.459975
47,0.455383
48,0.456068
49,0.451743
50,0.452474
51,0.448389
52,0.449156
53,0.454501
54,0.464169
55,0.473485
56,0.482468
57,0.488281
58,0.496700
59,0.504833
60,0.510370
61,0.518013
62,0.523158
63,0.530355
64,0.535148
65,0.541939
66,0.546410
67,0.548666
68,0.552907
69,0.555003
70,0.555046
71,0.557053
72,0.560942
73,0.566636
74,0.572175
75,0.575939
76,0.581211
77,0.586345
78,0.589957
79,0.594851
80,0.598266
81,0.600257
82,0.603523
83,0.608017
84,0.612405
85,0.616689
86,0.620873
87,0.624962
88,0.628104
89,0.632019
90,0.635847
91,0.639591
92,0.643254
93,0.646182
94,0.649696
95,0.652494
96,0.655870
97,0.659176
98,0.662415
99,0.665588
100,0.668184
101,0.670219
102,0.671711
103,0.673673
104,0.675103
105,0.676016
106,0.676426
107,0.676349
108,0.675798
109,0.675728
110,0.676126
111,0.676981
112,0.678279
113,0.680009
114,0.682159
115,0.684719
116,0.687235
117,0.689708
118,0.692139
119,0.694156
120,0.696510
121,0.698824
122,0.700753
123,0.702995
124,0.704859
125,0.707032
126,0.709172
127,0.710957
128,0.713032
129,0.715075
130,0.717086
131,0.718780
132,0.720733
133,0.722374
134,0.723710
135,0.724749
136,0.726048
137,0.727054
138,0.727773
139,0.728212
140,0.728376
141,0.728272
142,0.727904
143,0.727279
144,0.726402
145,0.725796
146,0.724941
147,0.723842
148,0.723012
149,0.721940
150,0.721134
151,0.720089
152,0.718811
153,0.717305
154,0.715574
155,0.713623
156,0.711456
157,0.709077
158,0.706967
159,0.704646
160,0.702590
161,0.700792
162,0.698785
163,0.697033
164,0.695073
165,0.693364
166,0.691450
167,0.689334
168,0.687019
169,0.684954
170,0.683134
171,0.681116
172,0.678903
173,0.676933
174,0.675201
175,0.673704
176,0.672437
177,0.671396
178,0.670157
179,0.669141
180,0.667927
181,0.666520
182,0.664921
183,0.663135
184,0.661164
185,0.659011
186,0.657084
187,0.655378
188,0.653889
189,0.652616
190,0.651553
191,0.650698
192,0.649657
193,0.648431
194,0.647412
195,0.646596
196,0.645597
197,0.644798
198,0.644197
199,0.643414
200,0.642826
201,0.642431
202,0.642226
203,0.642207
204,0.642373
205,0.642721
206,0.643248
207,0.643951
208,0.644827
209,0.645876
210,0.646735
211,0.647764
212,0.648606
213,0.649617
214,0.650443
215,0.651435
216,0.652245
217,0.652874
218,0.653325
219,0.653944
220,0.654386
221,0.654654
222,0.655089
223,0.655688
224,0.656450
225,0.657038
226,0.657455
227,0.657702
228,0.657783
229,0.657699
230,0.657779
231,0.657695
232,0.657451
233,0.657369
234,0.657128
235,0.657049
236,0.656812
237,0.656734
238,0.656816
239,0.656739
240,0.656820
241,0.656744
242,0.656513
243,0.656130
244,0.655904
245,0.655833
246,0.655915
247,0.655845
248,0.655624
249,0.655253
250,0.654736
251,0.654072
252,0.653564
253,0.653207
254,0.652706
255,0.652356
256,0.651861
257,0.651517
258,0.651030
259,0.650692
260,0.650212
261,0.649879
262,0.649406
263,0.648793
264,0.648327
265,0.647723
