Action,Memory Utilization
1,0.000000
2,0.406901
3,0.271267
4,0.406901
5,0.325521
6,0.271267
7,0.348772
8,0.305176
9,0.271267
10,0.325521
11,0.295928
12,0.271267
13,0.250401
14,0.290644
15,0.271267
16,0.254313
17,0.287224
18,0.316479
19,0.321238
20,0.345866
21,0.348772
22,0.332919
23,0.336136
24,0.356038
25,0.358073
26,0.375601
27,0.376760
28,0.392369
29,0.406901
30,0.420464
31,0.426590
32,0.425975
33,0.431562
34,0.442804
35,0.447591
36,0.446461
37,0.439893
38,0.439025
39,0.443418
40,0.442505
41,0.446599
42,0.455342
43,0.463678
44,0.471635
45,0.479239
46,0.483985
47,0.486055
48,0.490461
49,0.497060
50,0.503395
51,0.509481
52,0.513595
53,0.519259
54,0.523039
55,0.525037
56,0.525350
57,0.524065
58,0.524383
59,0.523158
60,0.523481
61,0.525276
62,0.528471
63,0.530130
64,0.533149
65,0.537467
66,0.540284
67,0.541667
68,0.544339
69,0.545624
70,0.545580
71,0.544263
72,0.541727
73,0.538022
74,0.533196
75,0.527292
76,0.522734
77,0.519468
78,0.515126
79,0.512040
80,0.510160
81,0.507211
82,0.503231
83,0.498257
84,0.492326
85,0.487597
86,0.484030
87,0.481585
88,0.478167
89,0.475843
90,0.474574
91,0.472340
92,0.471137
93,0.470933
94,0.469771
95,0.469585
96,0.468461
97,0.468292
98,0.467205
99,0.465225
100,0.462382
101,0.458699
102,0.455975
103,0.454182
104,0.453292
105,0.451559
106,0.450711
107,0.450724
108,0.449900
109,0.448261
110,0.445830
111,0.444257
112,0.443520
113,0.443596
114,0.442877
115,0.442958
116,0.443816
117,0.445433
118,0.447788
119,0.449344
120,0.451628
121,0.454621
122,0.456824
123,0.458256
124,0.458936
125,0.460328
126,0.460980
127,0.462334
128,0.464374
129,0.465681
130,0.466272
131,0.466164
132,0.466742
133,0.466632
134,0.465849
135,0.465747
136,0.466312
137,0.466208
138,0.465451
139,0.464054
140,0.463323
141,0.463243
142,0.462528
143,0.461191
144,0.460500
145,0.459195
146,0.457288
147,0.456023
148,0.454163
149,0.451722
150,0.448711
151,0.445739
152,0.443401
153,0.441685
154,0.440579
155,0.438903
156,0.437829
157,0.437344
158,0.436292
159,0.435823
160,0.434795
161,0.434341
162,0.433334
163,0.431785
164,0.429704
165,0.427099
166,0.424526
167,0.421984
168,0.420011
169,0.418596
170,0.417729
171,0.416344
172,0.415500
173,0.415189
174,0.415401
175,0.416128
176,0.416332
177,0.416024
178,0.416226
179,0.416932
180,0.418132
181,0.419819
182,0.420990
183,0.422642
184,0.424768
185,0.426871
186,0.428514
187,0.429704
188,0.431314
189,0.433337
190,0.434912
191,0.436043
192,0.437587
193,0.438693
194,0.440207
195,0.441288
196,0.442773
197,0.443831
198,0.445288
199,0.447140
200,0.448973
201,0.450420
202,0.451487
203,0.452907
204,0.453951
205,0.454624
206,0.454931
207,0.455592
208,0.456603
209,0.457250
210,0.458243
211,0.458877
212,0.459155
213,0.459083
214,0.458666
215,0.458598
216,0.458187
217,0.457439
218,0.456359
219,0.454951
220,0.453219
221,0.451838
222,0.450803
223,0.450108
224,0.449089
225,0.448409
226,0.447407
227,0.446088
228,0.445104
229,0.444453
230,0.444129
231,0.444128
232,0.443808
233,0.443173
234,0.442860
235,0.442865
236,0.442556
237,0.441937
238,0.441634
239,0.441025
240,0.440112
241,0.439513
242,0.439226
243,0.439245
244,0.438961
245,0.438981
246,0.439302
247,0.439320
248,0.439040
249,0.438466
250,0.438191
251,0.438214
252,0.438530
253,0.438551
254,0.438864
255,0.438883
256,0.438614
257,0.438635
258,0.438368
259,0.437818
260,0.437557
261,0.437014
262,0.436194
263,0.435098
264,0.434290
265,0.433768
266,0.432972
267,0.431904
268,0.430569
269,0.428968
270,0.427379
271,0.426075
272,0.424509
273,0.422954
274,0.421410
275,0.420147
276,0.418625
277,0.417113
278,0.415613
279,0.414388
280,0.412909
281,0.411702
282,0.410242
283,0.408793
284,0.407353
285,0.405924
286,0.404763
287,0.403869
288,0.402723
289,0.401330
290,0.400201
291,0.398826
292,0.397713
293,0.396356
294,0.395259
295,0.393919
296,0.392589
297,0.391267
298,0.390202
299,0.388897
300,0.387847
301,0.386559
302,0.385279
303,0.384007
304,0.382744
305,0.381732
306,0.380968
307,0.380450
308,0.380175
309,0.379663
310,0.378916
311,0.377935
312,0.376724
313,0.375757
314,0.375031
315,0.374545
316,0.373828
317,0.373349
318,0.372641
319,0.371704
320,0.371005
321,0.370080
322,0.369390
323,0.368934
324,0.368708
325,0.368257
326,0.367581
327,0.367135
328,0.366918
329,0.366927
330,0.366712
331,0.366275
332,0.365617
333,0.365186
334,0.364979
335,0.364993
336,0.364788
337,0.364803
338,0.364599
339,0.364178
340,0.363978
341,0.363995
342,0.364229
343,0.364245
344,0.364477
345,0.364921
346,0.365577
347,0.366016
348,0.366665
349,0.367098
350,0.367741
351,0.368590
352,0.369644
353,0.370484
354,0.371109
355,0.371939
356,0.372972
357,0.374207
358,0.375435
359,0.376656
360,0.377871
361,0.378917
362,0.379797
363,0.380833
364,0.382022
365,0.383205
366,0.384382
367,0.385413
368,0.386577
369,0.387597
370,0.388749
371,0.389895
372,0.390906
373,0.392040
374,0.393167
375,0.394168
376,0.395284
377,0.396395
378,0.397385
379,0.398484
380,0.399464
381,0.400327
382,0.401073
383,0.401703
384,0.402442
385,0.403288
386,0.404019
387,0.404856
388,0.405800
389,0.406848
390,0.407782
391,0.408601
392,0.409307
393,0.410119
394,0.410817
395,0.411404
396,0.412095
397,0.412676
398,0.413361
399,0.413935
400,0.414399
401,0.414968
402,0.415427
403,0.415991
404,0.416657
405,0.417215
406,0.417875
407,0.418637
408,0.419291
409,0.419837
410,0.420275
411,0.420816
412,0.421458
413,0.422200
414,0.422836
415,0.423365
416,0.423995
417,0.424519
418,0.424938
419,0.425457
420,0.425872
421,0.426386
422,0.426797
423,0.427307
424,0.427713
425,0.428218
426,0.428822
427,0.429322
428,0.429920
429,0.430615
430,0.431407
431,0.432095
432,0.432682
433,0.433364
434,0.433944
435,0.434424
436,0.434803
437,0.435082
438,0.435458
439,0.435734
440,0.436107
441,0.436380
442,0.436556
443,0.436634
444,0.436615
445,0.436500
446,0.436482
447,0.436368
448,0.436350
449,0.436237
450,0.436029
451,0.435727
452,0.435521
453,0.435221
454,0.434829
455,0.434344
456,0.433767
457,0.433099
458,0.432527
459,0.431865
460,0.431299
461,0.430642
462,0.430080
463,0.429429
464,0.428688
465,0.428043
466,0.427492
467,0.427035
468,0.426489
469,0.426036
470,0.425494
471,0.425045
472,0.424508
473,0.423882
474,0.423168
475,0.422548
476,0.422020
477,0.421405
478,0.420702
479,0.420092
480,0.419574
481,0.418969
482,0.418277
483,0.417677
484,0.417168
485,0.416750
486,0.416245
487,0.415654
488,0.415153
489,0.414742
490,0.414246
491,0.413838
492,0.413345
493,0.412767
494,0.412105
495,0.411532
496,0.410875
497,0.410135
498,0.409483
499,0.408748
500,0.408102
501,0.407544
502,0.406903
503,0.406179
504,0.405373
505,0.404655
506,0.404025
507,0.403313
508,0.402519
509,0.401728
510,0.400940
511,0.400155
512,0.399458
513,0.398846
514,0.398320
515,0.397879
516,0.397523
517,0.397086
518,0.396732
519,0.396463
520,0.396113
521,0.395681
522,0.395333
523,0.395069
524,0.394887
525,0.394624
526,0.394444
527,0.394346
528,0.394167
529,0.393908
530,0.393568
531,0.393150
532,0.392652
533,0.392237
534,0.391904
535,0.391652
536,0.391480
537,0.391389
538,0.391219
539,0.390970
540,0.390801
541,0.390712
542,0.390703
543,0.390772
544,0.390920
545,0.391145
546,0.391292
547,0.391516
548,0.391818
549,0.392040
550,0.392184
551,0.392250
552,0.392393
553,0.392458
554,0.392600
555,0.392818
556,0.392959
557,0.393177
558,0.393470
559,0.393839
560,0.394130
561,0.394343
562,0.394480
563,0.394692
564,0.394828
565,0.394887
566,0.395022
567,0.395081
568,0.395215
569,0.395273
570,0.395406
571,0.395613
572,0.395746
573,0.395802
574,0.395934
575,0.395990
576,0.395972
577,0.395879
578,0.395861
579,0.395769
580,0.395752
581,0.395660
582,0.395496
583,0.395405
584,0.395388
585,0.395298
586,0.395135
587,0.394900
588,0.394592
589,0.394213
590,0.393763
591,0.393241
592,0.392650
593,0.392132
594,0.391544
595,0.391030
596,0.390589
597,0.390222
598,0.389928
599,0.389706
600,0.389413
601,0.389193
602,0.389044
603,0.388825
604,0.388536
605,0.388319
606,0.388173
607,0.387956
608,0.387812
609,0.387737
610,0.387734
611,0.387800
612,0.387796
613,0.387723
614,0.387580
615,0.387506
616,0.387503
617,0.387569
618,0.387566
619,0.387632
620,0.387628
621,0.387556
622,0.387415
623,0.387343
624,0.387203
625,0.387131
626,0.386992
627,0.386785
628,0.386646
629,0.386440
630,0.386167
631,0.385962
632,0.385690
633,0.385351
634,0.384946
635,0.384475
636,0.384072
637,0.383604
638,0.383204
639,0.382873
640,0.382609
641,0.382413
642,0.382284
643,0.382089
644,0.381962
645,0.381768
646,0.381509
647,0.381316
648,0.381058
649,0.380735
650,0.380479
651,0.380157
652,0.379903
653,0.379583
654,0.379199
655,0.378751
656,0.378370
657,0.378055
658,0.377675
659,0.377362
660,0.376985
661,0.376674
662,0.376429
663,0.376119
664,0.375875
665,0.375568
666,0.375325
667,0.375148
668,0.374907
669,0.374731
670,0.374619
671,0.374444
672,0.374333
673,0.374285
674,0.374302
675,0.374382
676,0.374525
677,0.374731
678,0.374873
679,0.374952
680,0.374968
681,0.374920
682,0.374936
683,0.374888
684,0.374779
685,0.374732
686,0.374747
687,0.374701
688,0.374716
689,0.374670
690,0.374561
691,0.374515
692,0.374531
693,0.374609
694,0.374624
695,0.374702
696,0.374717
697,0.374671
698,0.374687
699,0.374763
700,0.374779
701,0.374855
702,0.374870
703,0.374824
704,0.374839
705,0.374915
706,0.375052
707,0.375248
708,0.375505
709,0.375700
710,0.375955
711,0.376149
712,0.376403
713,0.376716
714,0.377088
715,0.377399
716,0.377770
717,0.378199
718,0.378686
719,0.379112
720,0.379597
721,0.380140
722,0.380622
723,0.381162
724,0.381759
725,0.382355
726,0.382950
727,0.383489
728,0.383974
729,0.384510
730,0.385098
731,0.385685
732,0.386269
733,0.386804
734,0.387290
735,0.387822
736,0.388305
737,0.388738
738,0.389122
739,0.389457
740,0.389840
741,0.390173
742,0.390553
743,0.390885
744,0.391168
745,0.391498
746,0.391874
747,0.392297
748,0.392671
749,0.392997
750,0.393275
751,0.393505
752,0.393688
753,0.393917
754,0.394098
755,0.394232
756,0.394413
757,0.394546
758,0.394726
759,0.394858
760,0.394944
761,0.395076
762,0.395161
763,0.395200
764,0.395285
765,0.395415
766,0.395500
767,0.395538
768,0.395622
769,0.395751
770,0.395835
771,0.395964
772,0.396047
773,0.396084
774,0.396075
775,0.396020
776,0.396011
777,0.396048
778,0.396039
779,0.395985
780,0.395886
781,0.395832
782,0.395823
783,0.395860
784,0.395942
785,0.395979
786,0.395970
787,0.396006
788,0.396087
789,0.396124
790,0.396115
791,0.396061
792,0.396053
793,0.396089
794,0.396169
795,0.396294
796,0.396463
797,0.396587
798,0.396666
799,0.396790
800,0.396957
801,0.397168
802,0.397335
803,0.397457
804,0.397623
805,0.397832
806,0.398085
807,0.398381
808,0.398720
809,0.399014
810,0.399264
811,0.399470
812,0.399632
813,0.399749
814,0.399823
815,0.399854
816,0.399927
817,0.400044
818,0.400117
819,0.400234
820,0.400393
821,0.400595
822,0.400753
823,0.400954
824,0.401197
825,0.401397
826,0.401640
827,0.401838
828,0.402080
829,0.402278
830,0.402432
831,0.402629
832,0.402868
833,0.403149
834,0.403472
835,0.403836
836,0.404157
837,0.404520
838,0.404924
839,0.405285
840,0.405687
841,0.406046
842,0.406362
843,0.406635
844,0.406950
845,0.407306
846,0.407619
847,0.407974
848,0.408285
849,0.408638
850,0.409031
851,0.409382
852,0.409691
853,0.409957
854,0.410181
855,0.410364
856,0.410587
857,0.410768
858,0.410991
859,0.411254
860,0.411557
861,0.411901
862,0.412203
863,0.412546
864,0.412928
865,0.413269
866,0.413650
867,0.413989
868,0.414286
869,0.414624
870,0.414920
871,0.415175
872,0.415389
873,0.415642
874,0.415855
875,0.416027
876,0.416238
877,0.416490
878,0.416701
879,0.416871
880,0.417081
881,0.417250
882,0.417459
883,0.417627
884,0.417835
885,0.418003
886,0.418130
887,0.418297
888,0.418503
889,0.418669
890,0.418795
891,0.418881
892,0.418927
893,0.419012
894,0.419058
895,0.419144
896,0.419189
897,0.419274
898,0.419319
899,0.419404
900,0.419528
901,0.419690
902,0.419892
903,0.420132
904,0.420411
905,0.420650
906,0.420850
907,0.421010
908,0.421131
909,0.421213
910,0.421333
911,0.421414
912,0.421534
913,0.421615
914,0.421657
915,0.421660
916,0.421702
917,0.421782
918,0.421824
919,0.421827
920,0.421791
921,0.421795
922,0.421836
923,0.421839
924,0.421880
925,0.421883
926,0.421848
927,0.421774
928,0.421663
929,0.421590
930,0.421555
931,0.421559
932,0.421524
933,0.421527
934,0.421568
935,0.421572
936,0.421537
937,0.421465
938,0.421430
939,0.421434
940,0.421475
941,0.421478
942,0.421444
943,0.421372
944,0.421338
945,0.421341
946,0.421382
947,0.421460
948,0.421576
949,0.421653
950,0.421694
951,0.421771
952,0.421886
953,0.421963
954,0.422003
955,0.422079
956,0.422119
957,0.422196
958,0.422309
959,0.422459
960,0.422645
961,0.422868
962,0.423128
963,0.423350
964,0.423608
965,0.423902
966,0.424159
967,0.424379
968,0.424635
969,0.424854
970,0.425036
971,0.425255
972,0.425509
973,0.425799
974,0.426052
975,0.426341
976,0.426593
977,0.426808
978,0.426986
979,0.427129
980,0.427234
981,0.427376
982,0.427481
983,0.427550
984,0.427655
985,0.427796
986,0.427900
987,0.427968
988,0.428072
989,0.428140
990,0.428173
991,0.428169
992,0.428130
993,0.428126
994,0.428158
995,0.428155
996,0.428187
997,0.428183
998,0.428215
999,0.428282
1000,0.428314
