Action,Memory_Utilization
1,0.996492
2,0.498246
3,0.332164
4,0.249123
5,0.398597
6,0.332164
7,0.284712
8,0.373685
9,0.332164
10,0.298948
11,0.271771
12,0.332164
13,0.306613
14,0.355890
15,0.332164
16,0.311404
17,0.293086
18,0.332164
19,0.314682
20,0.348772
21,0.332164
22,0.362361
23,0.346606
24,0.373685
25,0.398597
26,0.421593
27,0.442885
28,0.462657
29,0.474193
30,0.491603
31,0.501461
32,0.504474
33,0.501266
34,0.504108
35,0.512482
36,0.525927
37,0.533258
38,0.534959
39,0.541683
40,0.553053
41,0.559008
42,0.559934
43,0.565451
44,0.575248
45,0.580180
46,0.580565
47,0.585174
48,0.593743
49,0.601963
50,0.606532
51,0.607665
52,0.605561
53,0.600402
54,0.598511
55,0.599707
56,0.603827
57,0.604888
58,0.608777
59,0.615348
60,0.621701
61,0.627845
62,0.631782
63,0.633616
64,0.637340
65,0.639033
66,0.642561
67,0.647844
68,0.652971
69,0.656345
70,0.661204
71,0.665927
72,0.670518
73,0.673742
74,0.678104
75,0.681141
76,0.682907
77,0.683450
78,0.682817
79,0.681054
80,0.678203
81,0.676541
82,0.676023
83,0.674427
84,0.673947
85,0.672413
86,0.669861
87,0.668409
88,0.668020
89,0.666621
90,0.666260
91,0.666903
92,0.666546
93,0.665224
94,0.662966
95,0.659801
96,0.657647
97,0.654602
98,0.650696
99,0.647784
100,0.644023
101,0.639441
102,0.635836
103,0.631422
104,0.626222
105,0.621983
106,0.618679
107,0.616284
108,0.613094
109,0.609131
110,0.604417
111,0.598972
112,0.594433
113,0.590776
114,0.587978
115,0.586016
116,0.583307
117,0.579870
118,0.577259
119,0.573930
120,0.571412
121,0.569685
122,0.567243
123,0.564104
124,0.560285
125,0.557253
126,0.553549
127,0.549190
128,0.545607
129,0.542782
130,0.539304
131,0.535187
132,0.531819
133,0.527820
134,0.524558
135,0.520672
136,0.516843
137,0.513071
138,0.509353
139,0.506340
140,0.504018
141,0.502371
142,0.500109
